,Jurisdiction,Date,Cumulative Case Rate,Percent
8774,Huntingdon,2020-04-11,24.4,0.3603816500753257
35130,Crawford,2020-04-11,20.1,0.2968717691194282
13564,Juniata,2020-04-11,157.5,2.326234011756713
33089,Northampton,2020-04-11,356.1,5.259504327533749
37934,Lebanon,2020-04-11,192.5,2.843174903258205
46718,Lackawanna,2020-04-11,202.7,2.9938262487814966
43942,Perry,2020-04-11,34.6,0.5110329955986176
44549,Clearfield,2020-04-11,12.6,0.18609872094053703
13097,Lycoming,2020-04-11,21.2,0.3131184828523322
41159,Clarion,2020-04-11,39.0,0.5760198505302337
6614,Philadelphia,2020-04-11,412.4,6.091040675863292
48177,Greene,2020-04-11,63.5,0.9378784745812779
47142,Westmoreland,2020-04-11,63.6,0.9393554485569965
29719,Fayette,2020-04-11,44.1,0.6513455232918797
40874,Jefferson,2020-04-11,4.6,0.0679408028830532
42708,Clinton,2020-04-11,20.7,0.3057336129737394
36300,Lancaster,2020-04-11,144.4,2.132750420937583
41987,Berks,2020-04-11,251.0,3.7072046790535556
31089,Schuylkill,2020-04-11,134.4,1.9850530233657284
30079,York,2020-04-11,71.5,1.0560363926387617
45582,Cumberland,2020-04-11,43.4,0.6410067054618498
42751,Carbon,2020-04-11,160.5,2.3705432310282695
11383,Fulton,2020-04-11,6.9,0.10191120432457981
47968,Mercer,2020-04-11,37.5,0.5538652408944554
37038,Bradford,2020-04-11,31.5,0.4652468023513426
8925,Armstrong,2020-04-11,41.7,0.6158981478746345
8877,Mifflin,2020-04-11,23.8,0.3515198062210144
9148,Elk,2020-04-11,10.0,0.1476973975718548
47564,Dauphin,2020-04-11,83.0,1.2258883998463947
44277,Luzerne,2020-04-11,444.5,6.565149322068946
45615,Butler,2020-04-11,70.3,1.0383127049301393
44093,Tioga,2020-04-11,32.0,0.47263167222993535
39022,Pike,2020-04-11,392.4,5.795645880719582
46209,Erie,2020-04-11,15.6,0.2304079402120935
9521,Montgomery,2020-04-11,266.6,3.9376126192656495
9570,Delaware,2020-04-11,281.8,4.162112663574868
12401,Bedford,2020-04-11,10.4,0.15360529347472898
8698,Potter,2020-04-11,24.2,0.3574277021238886
12361,Wyoming,2020-04-11,41.1,0.6070363040203232
43083,Lawrence,2020-04-11,60.8,0.8980001772368772
45948,Columbia,2020-04-11,167.8,2.4783623312557235
7956,Warren,2020-04-11,2.6,0.038401323368682246
